"json_pointer","value_type","value","runtime_home","feeding_status","consumer_path","master_plan_effect"
"/plan/income/0/label","string","Payroll — Seaspan","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/frequency","string","biweekly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/anchor","string","2026-08-14","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/amount","number","4468.69","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/0/note","string","Fifteen consecutive bi-weekly deposits observed at this level; treated as confirmed.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/id","string","childBenefit","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/label","string","Child benefit","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/day","number","20","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/amount","number","153.59","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/1/note","string","Eighteen consecutive months observed. The amount is fixed; the day of month is approximate.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/id","string","amandaTransfer","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/label","string","Amanda's transfers to the household","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/day","number","20","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/scenarioMonthly/conservative","number","930","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/scenarioMonthly/expected","number","2182","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/scenarioMonthly/optimistic","number","2400","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/income/2/note","string","What actually crosses into the household accounts, measured from the transfer record rather than from her gross pay: 127 transfers totalling $25,445 over 18 months, every one of them landing in Chequing B. Her Tennis BC pay (~$4,575/mo gross, semi-monthly on the 15th and month-end) is NOT counted — it lands in her own account, coaches are paid from it first, and only the remainder comes across. Expected is the 12-month mean ($2,182/mo); conservative is the lowest full month in that year ($930...","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/id","string","mortgage","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/debtId","string","mortgage","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/label","string","Mortgage","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/frequency","string","biweekly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/anchor","string","2026-08-14","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/amount","number","1600","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/0/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/id","string","heloc","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/debtId","string","heloc","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/effect","string","capitalise","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/label","string","HELOC interest","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/day","number","31","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/amount","number","814.18","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/nonCash","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/1/note","string","Charged on the last day of the month and capitalised onto the HELOC balance — it does not leave a chequing account, so it is shown on the calendar but never deducted from cash. The last three charges were $810.09, $787.58 and $814.18, each appearing as a debit on the HELOC itself with no matching chequing payment. The cost is real: the balance grows by this amount every month, which is why the HELOC has risen every month since February.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/id","string","triangle","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/debtId","string","triangle","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/label","string","Triangle Mastercard minimum","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/day","number","7","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/firstDue","string","2026-09-07","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/amount","number","253.57","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/2/note","string","August is paid. Future statement minimums are estimated at the current level.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/id","string","cashback-sep","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/debtId","string","cashback","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/label","string","TD Cash Back Visa — September minimum","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/frequency","string","once","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/date","string","2026-09-01","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/amount","number","762.36","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/3/note","string","The statement minimum, eleven times the usual, because the $612.43 over-limit excess is immediately due.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/id","string","cashback","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/debtId","string","cashback","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/label","string","TD Cash Back Visa minimum","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/day","number","1","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/firstDue","string","2026-10-01","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/amount","number","170","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/4/note","string","TD's minimum is $10 plus interest and fees; at the recent average balance that is about $170 once the card is back under its limit.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/id","string","mbna","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/debtId","string","mbna","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/label","string","Amazon.ca Mastercard minimum (MBNA)","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/day","number","31","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/amount","number","158.27","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/5/note","string","Due at month-end; the day clamps to shorter months. Future minimums estimated at the current level.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/id","string","tdcc","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/debtId","string","tdcc","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/label","string","TD credit card minimum","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/day","number","17","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/amount","number","94.03","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/6/note","string","A fifth missed minimum restarts the 24.99% penalty-rate clock for another twelve months.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/id","string","travel","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/debtId","string","travelvisa","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/effect","string","payment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/label","string","Travel Visa minimum","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/day","number","26","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/amount","number","17","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/obligations/7/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/id","string","fortis","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/label","string","FortisBC gas","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/day","number","3","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/amount","number","124","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/budgetCategory","string","household","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/0/note","string","Seventeen charges over fourteen months; $124.00 exactly in each of the last four, landing the 2nd–4th. August is already paid.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/id","string","shaw","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/label","string","Shaw internet","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/day","number","14","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/amount","number","78.4","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/budgetCategory","string","telecom","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/1/note","string","$78.40 on the 14th–15th, May through July.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/id","string","bcaa","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/label","string","BCAA insurance","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/day","number","15","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/amount","number","82.96","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/budgetCategory","string","insurance","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/2/note","string","Eighteen consecutive months on the 15th; $82.96 in each of the last three.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/id","string","icbc","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/label","string","ICBC insurance","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/day","number","15","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/amount","number","99.91","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/budgetCategory","string","insurance","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/3/note","string","$99.91 on the 15th, five consecutive months.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/id","string","fit4less","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/label","string","Fit4Less membership","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/frequency","string","biweekly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/anchor","string","2026-08-14","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/amount","number","11.54","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/4/note","string","$11.54 every two weeks, 18 months running, most recently 31 July — so the next lands on payday. An annual $21.99 fee appears each July.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/id","string","tdfees","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/label","string","TD account fees (two accounts)","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/frequency","string","monthly","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/day","number","30","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/amount","number","35.9","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/budgetCategory","null","","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/bills/5/note","string","Two $17.95 monthly plan fees at month-end, every month captured.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/billsNote","string","Extracted from the transaction history, not guessed: only bills still active in the last three months are dated here, and every one of them is paid from Chequing A. BC Hydro is no longer an open gap — it moved to Amanda's account in May 2026 and she has paid it there since ($235, $250, $250), so it is correctly absent from a household-accounts plan. Telus stopped leaving any captured account in March 2026 and its route is still unknown. Streaming is Amazon Channels — several small charges on ...","data.json","rendered explanatory text","Records / Plan presentation","no"
"/plan/commitments/0/id","string","burrard1","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/date","string","2026-08-12","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/label","string","Burrard registration — child 1","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/amount","number","320","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/group","string","burrard","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/0/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/id","string","burrard2","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/date","string","2026-08-12","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/label","string","Burrard registration — child 2","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/amount","number","303","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/group","string","burrard","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/1/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/id","string","fusioncamp","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/date","string","2026-08-16","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/label","string","Fusion camp","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/amount","number","786","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/note","string","Stated as ""next week"" — the date is approximate.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/2/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/id","string","tryouts","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/date","string","2026-08-22","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/label","string","Fusion tryouts","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/amount","number","140","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/confidence","string","confirmed","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/3/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/id","string","warriors","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/date","string","2026-09-15","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/label","string","Warriors Elite Academy","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/amount","number","800","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/adjustable","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/note","string","Owner-stated ""about $800"", September, not yet invoiced. Mid-month assumed.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/4/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/id","string","fusion-sep","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/date","string","2026-09-15","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/label","string","Fusion season — September instalment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/amount","number","500","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/budgetCategory","string","sport","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/confidence","string","estimated","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/adjustable","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/note","string","Planned as roughly $500/month across four months; selection expected after the 22 August tryouts.","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/5/sinkingFund","boolean","true","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/6/id","string","fusion-oct","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/6/date","string","2026-10-15","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
"/plan/commitments/6/label","string","Fusion season — October instalment","data.json","load-bearing engine input","public/forecast.js → Plan/Modellers","yes"
