pattern,category,type,notes
PHOTOEXPRESSIONS,Entertainment,discretionary,
CINEPLEX,Entertainment,discretionary,
STEAM,Entertainment,discretionary,
PLAYSTATION,Entertainment,discretionary,
NINTENDO,Entertainment,discretionary,
XBOX,Entertainment,discretionary,
RUDEBRAND,Entertainment,discretionary,
WATERMARKPOOL,Entertainment,discretionary,
TOWNSHIP7,Entertainment,discretionary,
WINERY,Entertainment,discretionary,
LIQUOR,Entertainment,discretionary,
BCLIQUOR,Entertainment,discretionary,
BEERWINESPIRIT,Entertainment,discretionary,
RAINMAKERWINES,Entertainment,discretionary,
WINES,Entertainment,discretionary,
AMAZONCA,Shopping,discretionary,
AMZNMKTP,Shopping,discretionary,
AMZN,Shopping,discretionary,
WINNERS,Shopping,discretionary,
HOMESENSE,Shopping,discretionary,
LULULEMON,Shopping,discretionary,
SEPHORA,Shopping,discretionary,
BLACKBOND,Shopping,discretionary,
RONA,Shopping,discretionary,
HOMEDEPOT,Shopping,discretionary,
CANADIANTIRE,Shopping,discretionary,
TARGET,Shopping,discretionary,
BESTBUY,Shopping,discretionary,
IKEA,Shopping,discretionary,
HARBORHOUSE,Shopping,discretionary,
SUNSHOPS,Shopping,discretionary,
BOARDWALKRETAIL,Shopping,discretionary,
GLOBALE,Shopping,discretionary,
ALOVANCOUVER,Shopping,discretionary,
LAVIEENROSE,Shopping,discretionary,
HUNNISCLOTHING,Shopping,discretionary,
ARDENE,Shopping,discretionary,
OLDNAVY,Shopping,discretionary,
GAP,Shopping,discretionary,
MARSHALLS,Shopping,discretionary,
SPPOPPY,Shopping,discretionary,
SPBIRCHBABE,Shopping,discretionary,
SHOPIFY,Shopping,discretionary,
ZARA,Shopping,discretionary,
FOOTLOCKER,Shopping,discretionary,
CHAMPSCANADA,Shopping,discretionary,
VIBRANTPHOTOS,Shopping,discretionary,
JAMMERGOODS,Shopping,discretionary,
HEADCANADA,Business,business,
IVOCLAR,Business,business,
NOBLEDISPOSAL,Household,essential,
DISPOSAL,Household,essential,
FORTISBC,Household,essential,
BCHYDRO,Household,essential,
INSURANCE,Household,essential,
BCAA,Household,essential,
WASTE,Household,essential,
RMSCTITANS,School & clubs,essential,
ELEMENTAR,School & clubs,essential,
BAMMAPLERIDGE,School & clubs,essential,
SCHOOL,School & clubs,essential,
PAC,School & clubs,essential,
